bio_db_version,4:4:0,2024.4.5
bio_db_repo_version,24:4:5,2024.4.5
total_tables_records,144,76398976
cgnc_galg_cgnc_curs,2,26023
cgnc_galg_cgnc_edat,2,26023
cgnc_galg_cgnc_ensg,2,15314
cgnc_galg_cgnc_name,2,26022
cgnc_galg_cgnc_ncbi,2,26017
cgnc_galg_cgnc_symb,2,26022
cgnc_galg_cgnc_syno,2,2965
ense_galg_ensg_chrl,5,30108
ense_galg_ensg_symb,2,14238
ense_galg_enst_chrl,5,72689
ense_galg_enst_ensg,2,72689
ense_gg6a_ensg_chrl,5,30108
ense_gg6a_ensg_symb,2,14238
ense_gg6a_enst_chrl,5,72689
ense_gg6a_enst_ensg,2,72689
ense_homs_ensg_chrl,5,63241
ense_homs_ensg_hgnc,2,41654
ense_homs_ensg_symb,2,41654
ense_homs_enst_chrl,5,252893
ense_homs_enst_ensg,2,252893
ense_musm_ensg_chrl,5,57180
ense_musm_ensg_mgim,2,42965
ense_musm_ensg_symb,2,57180
ense_musm_enst_chrl,5,149039
ense_musm_enst_ensg,2,149039
ense_suss_ensg_chrl,5,35670
ense_suss_ensg_symb,2,17602
ense_suss_enst_chrl,5,60273
ense_suss_enst_ensg,2,60273
gont_galg_symb_gont,4,119336
gont_homs_edge_gisa,2,67579
gont_homs_edge_gnrg,2,2901
gont_homs_edge_gpof,2,7637
gont_homs_edge_gprg,2,2903
gont_homs_edge_greg,2,3329
gont_homs_gont_gonm,2,42442
gont_homs_gont_symb,3,338005
gont_homs_symb_gont,3,338005
gont_musm_gont_symb,4,445274
gont_musm_mgim_gont,4,446844
gont_suss_symb_gont,4,127929
hgnc_homs_ccds_hgnc,2,19065
hgnc_homs_ensg_hgnc,2,41206
hgnc_homs_hgnc_ccds,2,19065
hgnc_homs_hgnc_chrb,2,43842
hgnc_homs_hgnc_ensg,2,41206
hgnc_homs_hgnc_name,2,43842
hgnc_homs_hgnc_ncbi,2,43796
hgnc_homs_hgnc_symb,2,43842
hgnc_homs_ncbi_hgnc,2,43796
hgnc_homs_ncbi_symb,2,43796
hgnc_homs_prev_symb,2,15570
hgnc_homs_symb_hgnc,2,43842
hgnc_homs_symb_ncbi,2,43796
hgnc_homs_syno_symb,2,44166
mgim_musm_mgim_chrl,5,682455
mgim_musm_mgim_genb,2,277370
mgim_musm_mgim_mnme,2,682455
mgim_musm_mgim_mrks,2,682455
mgim_musm_mgim_ncbi,2,725222
mgim_musm_mgim_symb,2,63755
mgim_musm_mgim_unip,2,17029
mgim_musm_mrks_wdra,2,59314
mgim_musm_msyn_mgim,2,257955
ncbi_galg_dnuc_symb,2,112760
ncbi_galg_ncbi_ensg,2,15577
ncbi_galg_ncbi_ensp,2,23248
ncbi_galg_ncbi_symb,2,28174
ncbi_galg_nsyn_symb,2,9358
ncbi_galg_rnuc_symb,2,205587
ncbi_homs_dnuc_symb,2,1091312
ncbi_homs_ncbi_ensg,2,36993
ncbi_homs_ncbi_ensp,2,47076
ncbi_homs_ncbi_symb,2,191807
ncbi_homs_nsyn_symb,2,73974
ncbi_homs_rnuc_symb,2,518619
ncbi_mult_taxo_gbnm,2,30493
ncbi_mult_taxo_scnm,2,2570971
ncbi_musm_dnuc_symb,2,288974
ncbi_musm_ncbi_ensg,2,33138
ncbi_musm_ncbi_ensp,2,34654
ncbi_musm_ncbi_symb,2,97662
ncbi_musm_nsyn_symb,2,75336
ncbi_musm_rnuc_symb,2,353632
ncbi_suss_dnuc_symb,2,81306
