bio_db_version,4:2:0,2023.6.6
bio_db_repo_version,23:6:20,2023.6.20
total_tables_records,103,80948178
cgnc_galg_cgnc_curs,2,25925
cgnc_galg_cgnc_edat,2,25925
cgnc_galg_cgnc_ensg,2,15253
cgnc_galg_cgnc_name,2,25925
cgnc_galg_cgnc_ncbi,2,25921
cgnc_galg_cgnc_symb,2,25925
cgnc_galg_cgnc_syno,2,3030
ense_galg_ensg_chrl,5,30108
ense_galg_ensg_symb,2,14249
ense_galg_enst_chrl,5,72689
ense_galg_enst_ensg,2,72689
ense_gg6a_ensg_chrl,5,30862
ense_gg6a_ensg_symb,2,6480
ense_gg6a_enst_chrl,5,74296
ense_gg6a_enst_ensg,2,74296
ense_homs_ensg_chrl,5,62710
ense_homs_ensg_hgnc,2,41287
ense_homs_ensg_symb,2,41287
ense_homs_enst_chrl,5,252702
ense_homs_enst_ensg,2,252702
ense_musm_ensg_chrl,5,57010
ense_musm_ensg_mgim,2,55398
ense_musm_ensg_symb,2,57010
ense_musm_enst_chrl,5,149347
ense_musm_enst_ensg,2,149347
ense_suss_ensg_chrl,5,35670
ense_suss_ensg_symb,2,17511
ense_suss_enst_chrl,5,60273
ense_suss_enst_ensg,2,60273
gont_galg_symb_gont,4,117139
gont_homs_edge_gisa,2,68650
gont_homs_edge_gnrg,2,2951
gont_homs_edge_gpof,2,7696
gont_homs_edge_gprg,2,2945
gont_homs_edge_greg,2,3396
gont_homs_gont_gonm,2,42950
gont_homs_gont_symb,3,336023
gont_homs_symb_gont,3,336023
gont_musm_gont_symb,4,437854
gont_musm_mgim_gont,4,437865
gont_suss_symb_gont,4,125832
hgnc_homs_ccds_hgnc,2,18926
hgnc_homs_ensg_hgnc,2,41001
hgnc_homs_hgnc_ccds,2,18926
hgnc_homs_hgnc_chrb,2,43699
hgnc_homs_hgnc_ensg,2,41001
hgnc_homs_hgnc_name,2,43700
hgnc_homs_hgnc_ncbi,2,43654
hgnc_homs_hgnc_symb,2,43700
hgnc_homs_ncbi_hgnc,2,43654
hgnc_homs_ncbi_symb,2,43654
hgnc_homs_prev_symb,2,15516
hgnc_homs_symb_hgnc,2,43700
hgnc_homs_symb_ncbi,2,43654
hgnc_homs_syno_symb,2,43719
mgim_musm_mgim_chrl,5,676449
mgim_musm_mgim_genb,2,277243
mgim_musm_mgim_ncbi,2,719140
mgim_musm_mgim_symb,2,676449
mgim_musm_mgim_unip,2,16988
mgim_musm_symb_wdra,2,59005
mgim_musm_syno_mgim,2,257027
ncbi_homs_dnuc_symb,2,869087
ncbi_homs_ensg_ncbi,2,36278
ncbi_homs_ensp_ncbi,2,46300
ncbi_homs_ncbi_ensg,2,36278
ncbi_homs_ncbi_ensp,2,46300
ncbi_homs_rnuc_symb,2,466669
ncbi_musm_syno_symb,2,70348
ncbi_suss_ensg_ncbi,2,17782
ncbi_suss_ensp_ncbi,2,23600
ncbi_suss_ncbi_ensg,2,17782
ncbi_suss_ncbi_ensp,2,23600
pros_homs_pros_prsn,2,1851
pros_homs_pros_sprt,7,54556
strg_galg_edge_ensp,3,7821418
strg_galg_edge_symb,3,3910709
strg_galg_ensp_symb,2,15508
strg_homs_edge_ensp,3,11938498
strg_homs_edge_symb,3,5066306
strg_musm_edge_ensp,3,14496358
strg_musm_edge_symb,3,6258522
strg_suss_edge_ensp,3,13781164
strg_suss_edge_symb,3,6890582
strg_suss_ensp_symb,2,21597
unip_galg_unip_ensp,2,45911
unip_galg_unip_gyno,2,1534
unip_galg_unip_ncbi,2,9055
unip_galg_unip_strp,2,3054
unip_galg_unip_symb,2,45484
unip_homs_ensp_unip,2,120717
unip_homs_hgnc_unip,2,81725
unip_homs_sprt_seqn,2,20422
unip_homs_trem_nucs,2,1038884
unip_homs_trem_seqn,2,187358
unip_homs_unip_hgnc,2,81725
unip_homs_unip_ncbi,2,33144
unip_musm_ensp_unip,2,67162
unip_musm_gyno_unip,2,28951
unip_musm_mgim_unip,2,80434
unip_musm_trem_nucs,2,129691
unip_musm_unip_ncbi,2,32442
unip_musm_unip_symb,2,83163
